id,title,content,summary,url,source,author,published_date,scraped_date,sentiment_score,sentiment_label,mentioned_stocks,mentioned_companies,mentioned_persons,category,subcategory,tags,word_count,read_time_minutes,is_duplicate,duplicate_of_id
18,DoorDash Stock: Analyst Estimates  Ratings,,,https://finance.yahoo.com/news/doordash-stock-analyst-estimates-ratings-150348358.html,yahoo_finance,,2026-02-02T15:03:48,2026-02-03T23:39:58,0.0,neutral,,Analyst Estimates  Ratings;Stock,Analyst Estimates  Ratings,,,,0,1,False,
21,Morgan Stanley Still Bullish on Wingstop Inc. (WING)s Growth Story After Target Cut,,,https://finance.yahoo.com/news/morgan-stanley-still-bullish-wingstop-150343100.html,yahoo_finance,,2026-02-02T15:03:43,2026-02-03T23:39:58,0.0,neutral,WING,Morgan Stanley Still Bullish;Wingstop Inc;Growth Story After Target Cut,Morgan Stanley Still Bullish;Wingstop Inc;Growth Story After Target Cut,,,,0,1,False,
22,"Cal-Maine Foods, Inc. (CALM)s Long-Term Outlook Remains Intact Despite Short-Term Headwinds",,,https://finance.yahoo.com/news/cal-maine-foods-inc-calm-150303731.html,yahoo_finance,,2026-02-02T15:03:03,2026-02-03T23:39:58,0.0,neutral,CALM,Maine Foods;Term Headwinds;Inc;Term Outlook Remains Intact Despite Short;Long;Cal,Maine Foods;Term Outlook Remains Intact Despite Short;Term Headwinds,,,,0,1,False,
23,"Freedom Capital Initiates Mamas Creations, Inc. (MAMA) With Buy Rating, Citing National Expansion and Innovation",,,https://finance.yahoo.com/news/freedom-capital-initiates-mama-creations-150220434.html,yahoo_finance,,2026-02-02T15:02:20,2026-02-03T23:39:58,0.0,neutral,MAMA,With Buy Rating;Innovation;Citing National Expansion;Inc;Freedom Capital Initiates Mamas Creations,With Buy Rating;Freedom Capital Initiates Mamas Creations;Citing National Expansion,,,,0,1,False,
24,BMO Stays Bullish on Primo Brands Corporation (PRMB) Despite Near-Term Estimate Reset,,,https://finance.yahoo.com/news/bmo-stays-bullish-primo-brands-150143451.html,yahoo_finance,,2026-02-02T15:01:43,2026-02-03T23:39:58,0.0,neutral,PRMB;BMO,Stays Bullish;Term Estimate Reset;Despite Near;Primo Brands Corporation,Stays Bullish;Term Estimate Reset;Despite Near;Primo Brands Corporation,,,,0,1,False,
26,"Dutch Bros Inc. (BROS) Positioned for Continued Same-Store Sales Momentum, Says Citi",,,https://finance.yahoo.com/news/dutch-bros-inc-bros-positioned-150059271.html,yahoo_finance,,2026-02-02T15:00:59,2026-02-03T23:39:58,0.0,neutral,BROS,Positioned;Store Sales Momentum;Continued Same;Dutch Bros Inc;Says Citi,Dutch Bros Inc;Store Sales Momentum;Continued Same;Says Citi,,,,0,1,False,
27,"The ONE Group Hospitality, Inc. (STKS) Seen as Long-Term Opportunity Despite Q4 Revenue Miss",,,https://finance.yahoo.com/news/one-group-hospitality-inc-stks-150005040.html,yahoo_finance,,2026-02-02T15:00:05,2026-02-03T23:39:58,0.0,neutral,ONE;STKS,The;Seen;Inc;Long;Revenue Miss;Group Hospitality;Term Opportunity Despite,Group Hospitality;Revenue Miss;Term Opportunity Despite,,,,0,1,False,
29,GenLogs raises 60M Series B to enhance supply chain intelligence and security,,,https://finance.yahoo.com/news/genlogs-raises-60m-series-b-150000460.html,yahoo_finance,,2026-02-02T15:00:00,2026-02-03T23:39:58,0.0,neutral,M;B,Series,,,,,0,1,False,
28,OPEC Overproducers Update Compensation Cuts,,,https://finance.yahoo.com/news/opec-overproducers-compensation-cuts-150000362.html,yahoo_finance,,2026-02-02T15:00:00,2026-02-03T23:39:58,0.0,neutral,OPEC,Overproducers Update Compensation Cuts,Overproducers Update Compensation Cuts,,,,0,1,False,
31,"JPMorgan Raises Celsius Holdings Inc (CELH) Price Target, Sees Earnings Upside From PepsiCo Partnership and Alani Nu Growth",,,https://finance.yahoo.com/news/jpmorgan-raises-celsius-holdings-inc-145955992.html,yahoo_finance,,2026-02-02T14:59:55,2026-02-03T23:39:58,0.0,neutral,CELH,Alani Nu Growth;Sees Earnings Upside From;Price Target;Partnership;Raises Celsius Holdings Inc,Price Target;Sees Earnings Upside From;Alani Nu Growth;Raises Celsius Holdings Inc,,,,0,1,False,
32,Do Wall Street Analysts Like CrowdStrike Stock?,,,https://finance.yahoo.com/news/wall-street-analysts-crowdstrike-stock-145921929.html,yahoo_finance,,2026-02-02T14:59:21,2026-02-03T23:39:58,0.0,neutral,,Do Wall Street Analysts Like;Stock,Do Wall Street Analysts Like,,,,0,1,False,
37,"Black Diamond Therapeutics, Inc. (BDTX) Price Target Trimmed as Piper Updates Biotech Models and 2026 Catalyst Tracker",,,https://finance.yahoo.com/news/black-diamond-therapeutics-inc-bdtx-145606955.html,yahoo_finance,,2026-02-02T14:56:06,2026-02-03T23:39:58,0.0,neutral,BDTX,Price Target Trimmed;Inc;Piper Updates Biotech Models;Catalyst Tracker;Black Diamond Therapeutics,Catalyst Tracker;Piper Updates Biotech Models;Price Target Trimmed;Black Diamond Therapeutics,,,,0,1,False,
34,"Altimmune, Inc. (ALT) Gains Analyst Support Ahead of Phase 3 MASH Development",,,https://finance.yahoo.com/news/altimmune-inc-alt-gains-analyst-145540141.html,yahoo_finance,,2026-02-02T14:55:40,2026-02-03T23:39:58,0.0,neutral,ALT;MASH,Inc;Gains Analyst Support Ahead;Development;Phase;Altimmune,Gains Analyst Support Ahead,,,,0,1,False,
38,"Piper Sandler See Label Expansion Potential for ImmunityBio, Inc. (IBRX)s ANKTIVA Following QUILT Data",,,https://finance.yahoo.com/news/piper-sandler-see-label-expansion-145518172.html,yahoo_finance,,2026-02-02T14:55:18,2026-02-03T23:39:58,0.0,neutral,IBRX;QUILT;KTIVA,Piper Sandler See Label Expansion Potential;Following;Data;Inc,Piper Sandler See Label Expansion Potential,,,,0,1,False,
42,Roth Capital Say Market Pricing Implies Zero Success for Arcturus Therapeutics Holdings Inc. (ARCT) Pipeline Assets,,,https://finance.yahoo.com/news/roth-capital-market-pricing-implies-145450042.html,yahoo_finance,,2026-02-02T14:54:50,2026-02-03T23:39:58,0.0,neutral,ARCT,Pipeline Assets;Arcturus Therapeutics Holdings Inc;Roth Capital Say Market Pricing Implies Zero Success,Pipeline Assets;Arcturus Therapeutics Holdings Inc;Roth Capital Say Market Pricing Implies Zero Success,,,,0,1,False,
40,Aptiv (APTV) Looking at More Realistic Value and Growth Propositions,,,https://finance.yahoo.com/news/aptiv-aptv-looking-more-realistic-145424325.html,yahoo_finance,,2026-02-02T14:54:24,2026-02-03T23:39:58,0.0,neutral,APTV,More Realistic Value;Growth Propositions;Looking;Aptiv,More Realistic Value;Growth Propositions,,,,0,1,False,
39,2026 Labeled as a Transition Year for Mobileye (MBLY),,,https://finance.yahoo.com/news/2026-labeled-transition-mobileye-mbly-145422539.html,yahoo_finance,,2026-02-02T14:54:22,2026-02-03T23:39:58,0.0,neutral,MBLY,Transition Year;Labeled;Mobileye,Transition Year,,,,0,1,False,
8,"Disney reports profit hit on higher costs, while parks business shines as CEO search narrows",,,https://finance.yahoo.com/news/disney-reports-profit-hit-on-higher-costs-while-parks-business-shines-as-ceo-search-narrows-131629869.html,yahoo_finance,,2026-02-02T13:16:29,2026-02-03T23:39:58,0.0,neutral,CEO,Disney,,,,,0,1,False,
